"","Trial","RT"
"1",1,NA
"2",2,0.8476
"3",3,0.86708
"4",4,1.2567
"5",5,1.0055
"6",6,0.9268
"7",7,1.424
"8",8,0.96149
"9",9,0.93175
"10",10,1.0424
"11",11,NA
"12",12,1.4952
"13",13,1.349
"14",14,1.7243
"15",15,NA
"16",16,1.7303
"17",17,1.8666
"18",18,1.4594
"19",19,NA
"20",20,1.0094
"21",21,1.5995
"22",22,0.99893
"23",23,1.4678
"24",24,0.9757
"25",25,1.1821
"26",26,NA
"27",27,1.0623
"28",28,1.1284
"29",29,1.2416
"30",30,0.89847
"31",31,0.98119
"32",32,0.89596
"33",33,0.71143
"34",34,0.98225
"35",35,0.8999
"36",36,1.1806
"37",37,0.97396
"38",38,1.3078
"39",39,1.5307
"40",40,0.98489
"41",41,1.6466
"42",42,0.90756
"43",43,1.4934
"44",44,0.97991
"45",45,1.3095
"46",46,0.80868
"47",47,0.89306
"48",48,1.8949
"49",49,1.3504
"50",50,1.1091
"51",51,1.6866
"52",52,1.2669
"53",53,0.75661
"54",54,0.79382
"55",55,0.90291
"56",56,0.6688
"57",57,1.0512
"58",58,0.72837
"59",59,0.98478
"60",60,0.72342
"61",61,1.2154
"62",62,0.80182
"63",63,1.2241
"64",64,1.0404
"65",65,NA
"66",66,0.9094
"67",67,1.9097
"68",68,0.66951
"69",69,0.64596
"70",70,0.85481
"71",71,0.90072
"72",72,0.41894
"73",73,0.50382
"74",74,1.0217
"75",75,0.54786
"76",76,1.0517
"77",77,0.84763
"78",78,0.63679
"79",79,1.0453
"80",80,0.69748
"81",81,1.275
"82",82,0.6874
"83",83,0.77931
"84",84,0.74682
"85",85,0.7847
"86",86,0.75318
"87",87,1.1028
"88",88,0.83492
"89",89,0.77987
"90",90,0.91122
"91",91,0.72364
"92",92,0.75045
"93",93,0.9256
"94",94,1.013
"95",95,0.76801
"96",96,1.1009
"97",97,1.2206
"98",98,1.0807
"99",99,1.1785
"100",100,0.79643
"101",101,1.67
"102",102,0.85061
"103",103,NA
"104",104,1.1875
"105",105,0.99976
"106",106,1.3541
"107",107,NA
"108",108,0.9384
"109",109,0.95563
"110",110,1.58
"111",111,0.59928
"112",112,0.86883
"113",113,1.4332
"114",114,0.76522
"115",115,0.85313
"116",116,0.7144
"117",117,NA
"118",118,0.98813
"119",119,1.0204
"120",120,1.1545
